Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,Introduced,Terminated,Altitude,Population,Households,Nearest Station,Distance To Station (KM),Built Up Area,Built Up Area Sub-Division,Water Company,Sewage Company
CR7 7NQ,Yes,51.400685,-0.114431,531262,168537,TQ312685,7/1/1990 12:00:00 AM,,41,86,34,"Thornton Heath",1.0,"Greater London","Croydon","Thames Water",""
CR7 7NR,Yes,51.400912,-0.115629,531178,168560,TQ311685,7/1/1990 12:00:00 AM,,41,59,23,"Thornton Heath",1.1,"Greater London","Croydon","Thames Water",""
CR7 7NS,Yes,51.400932,-0.116894,531090,168560,TQ310685,7/1/1990 12:00:00 AM,,40,144,74,"Thornton Heath",1.2,"Greater London","Croydon","Thames Water",""
CR7 7NT,No,51.378068,-0.113291,531406,166024,TQ314660,9/1/1991 12:00:00 AM,4/1/2016 12:00:00 AM,43,,,"Waddon Marsh",0.3,"Greater London","Croydon","",""
CR7 7NW,Yes,51.392810,-0.103431,532050,167681,TQ320676,12/1/1999 12:00:00 AM,,47,30,9,"Thornton Heath",0.7,"Greater London","Croydon","Thames Water",""
CR7 7NX,No,51.375716,-0.091863,532904,165801,TQ329658,6/1/2001 12:00:00 AM,3/1/2006 12:00:00 AM,63,,,"East Croydon",0.0,"Greater London","Croydon","",""
CR7 7PA,Yes,51.395437,-0.114621,531264,167953,TQ312679,7/1/1990 12:00:00 AM,,46,68,27,"Thornton Heath",1.0,"Greater London","Croydon","Thames Water",""
CR7 7PB,Yes,51.396569,-0.115121,531226,168078,TQ312680,7/1/1990 12:00:00 AM,,45,58,19,"Thornton Heath",1.0,"Greater London","Croydon","Thames Water",""
CR7 7PD,Yes,51.400237,-0.115657,531178,168485,TQ311684,7/1/1990 12:00:00 AM,,42,83,27,"Thornton Heath",1.1,"Greater London","Croydon","Thames Water",""
CR7 7PE,Yes,51.397230,-0.115436,531202,168151,TQ312681,7/1/1990 12:00:00 AM,,43,50,24,"Thornton Heath",1.0,"Greater London","Croydon","Thames Water",""
CR7 7PF,Yes,51.397919,-0.115781,531176,168227,TQ311682,7/1/1990 12:00:00 AM,,43,38,11,"Thornton Heath",1.1,"Greater London","Croydon","Thames Water",""
CR7 7PG,Yes,51.398765,-0.116336,531135,168320,TQ311683,7/1/1990 12:00:00 AM,,42,46,14,"Thornton Heath",1.1,"Greater London","Croydon","Thames Water",""
CR7 7PH,Yes,51.399993,-0.115566,531185,168458,TQ311684,7/1/1990 12:00:00 AM,,42,89,26,"Thornton Heath",1.1,"Greater London","Croydon","Thames Water",""
CR7 7PJ,Yes,51.399620,-0.116962,531089,168414,TQ310684,7/1/1990 12:00:00 AM,,42,38,13,"Thornton Heath",1.2,"Greater London","Croydon","Thames Water",""
CR7 7PL,Yes,51.398663,-0.115060,531224,168311,TQ312683,7/1/1990 12:00:00 AM,,42,76,23,"Thornton Heath",1.0,"Greater London","Croydon","Thames Water",""
CR7 7PN,Yes,51.398403,-0.115114,531221,168282,TQ312682,7/1/1990 12:00:00 AM,,42,50,19,"Thornton Heath",1.0,"Greater London","Croydon","Thames Water",""
CR7 7PP,Yes,51.398473,-0.113832,531310,168292,TQ313682,7/1/1990 12:00:00 AM,,43,143,50,"Thornton Heath",0.9,"Greater London","Croydon","Thames Water",""
CR7 7PQ,Yes,51.399470,-0.111548,531466,168407,TQ314684,7/1/1990 12:00:00 AM,,43,58,17,"Thornton Heath",0.8,"Greater London","Croydon","Thames Water",""
CR7 7PR,Yes,51.400181,-0.109909,531578,168489,TQ315684,7/1/1990 12:00:00 AM,,43,85,31,"Thornton Heath",0.7,"Greater London","Croydon","Thames Water",""
CR7 7PS,Yes,51.398184,-0.113758,531316,168260,TQ313682,7/1/1990 12:00:00 AM,,43,133,46,"Thornton Heath",0.9,"Greater London","Croydon","Thames Water",""
CR7 7PT,Yes,51.399355,-0.111136,531495,168395,TQ314683,7/1/1990 12:00:00 AM,,43,15,7,"Thornton Heath",0.7,"Greater London","Croydon","Thames Water",""
CR7 7PU,Yes,51.397280,-0.114053,531298,168159,TQ312681,7/1/1990 12:00:00 AM,,44,91,29,"Thornton Heath",1.0,"Greater London","Croydon","Thames Water",""
CR7 7PW,Yes,51.398043,-0.112297,531418,168247,TQ314682,7/1/1990 12:00:00 AM,,44,61,19,"Thornton Heath",0.8,"Greater London","Croydon","Thames Water",""
CR7 7PX,Yes,51.399963,-0.109760,531589,168465,TQ315684,7/1/1990 12:00:00 AM,,43,79,31,"Thornton Heath",0.7,"Greater London","Croydon","Thames Water",""
CR7 7PY,Yes,51.397569,-0.114113,531293,168191,TQ312681,7/1/1990 12:00:00 AM,,44,84,24,"Thornton Heath",1.0,"Greater London","Croydon","Thames Water",""
CR7 7PZ,Yes,51.398254,-0.112518,531402,168270,TQ314682,7/1/1990 12:00:00 AM,,43,56,20,"Thornton Heath",0.8,"Greater London","Croydon","Thames Water",""
CR7 7QA,Yes,51.398218,-0.104771,531941,168280,TQ319682,7/1/1990 12:00:00 AM,,45,177,67,"Thornton Heath",0.3,"Greater London","Croydon","Thames Water",""
CR7 7QB,Yes,51.399579,-0.106066,531847,168429,TQ318684,7/1/1990 12:00:00 AM,,44,88,32,"Thornton Heath",0.4,"Greater London","Croydon","Thames Water",""
CR7 7QD,Yes,51.400614,-0.108324,531687,168540,TQ316685,7/1/1990 12:00:00 AM,,42,137,43,"Thornton Heath",0.6,"Greater London","Croydon","Thames Water",""
CR7 7QE,Yes,51.399394,-0.106275,531833,168408,TQ318684,7/1/1990 12:00:00 AM,,44,71,21,"Thornton Heath",0.4,"Greater London","Croydon","Thames Water",""
CR7 7QF,Yes,51.400318,-0.108382,531684,168507,TQ316685,7/1/1990 12:00:00 AM,,43,71,25,"Thornton Heath",0.6,"Greater London","Croydon","Thames Water",""
CR7 7QG,Yes,51.402322,-0.110539,531528,168726,TQ315687,7/1/1990 12:00:00 AM,,42,105,36,"Thornton Heath",0.8,"Greater London","Croydon","Thames Water",""
CR7 7QH,Yes,51.400467,-0.110946,531505,168519,TQ315685,7/1/1990 12:00:00 AM,,42,99,35,"Thornton Heath",0.8,"Greater London","Croydon","Thames Water",""
CR7 7QJ,Yes,51.402413,-0.111139,531486,168735,TQ314687,7/1/1990 12:00:00 AM,,42,40,12,"Thornton Heath",0.9,"Greater London","Croydon","Thames Water",""
CR7 7QL,Yes,51.400231,-0.110798,531516,168493,TQ315684,7/1/1990 12:00:00 AM,,42,115,38,"Thornton Heath",0.7,"Greater London","Croydon","Thames Water",""
CR7 7QN,Yes,51.400953,-0.113198,531347,168569,TQ313685,7/1/1990 12:00:00 AM,,42,101,40,"Thornton Heath",0.9,"Greater London","Croydon","Thames Water",""
CR7 7QP,Yes,51.400479,-0.113332,531339,168516,TQ313685,7/1/1990 12:00:00 AM,,43,115,36,"Thornton Heath",0.9,"Greater London","Croydon","Thames Water",""
CR7 7QR,Yes,51.401478,-0.111710,531449,168630,TQ314686,7/1/1990 12:00:00 AM,,43,122,38,"Thornton Heath",0.8,"Greater London","Croydon","Thames Water",""
CR7 7QS,Yes,51.401707,-0.111959,531431,168655,TQ314686,7/1/1990 12:00:00 AM,,43,109,40,"Thornton Heath",0.9,"Greater London","Croydon","Thames Water",""
CR7 7QT,Yes,51.399283,-0.113916,531302,168382,TQ313683,7/1/1990 12:00:00 AM,,42,43,12,"Thornton Heath",0.9,"Greater London","Croydon","Thames Water",""
CR7 7QU,Yes,51.400404,-0.112027,531430,168510,TQ314685,7/1/1990 12:00:00 AM,,42,61,24,"Thornton Heath",0.8,"Greater London","Croydon","Thames Water",""
CR7 7QW,Yes,51.400912,-0.110626,531526,168569,TQ315685,7/1/1990 12:00:00 AM,,42,51,22,"Thornton Heath",0.8,"Greater London","Croydon","Thames Water",""
CR7 7QX,Yes,51.399817,-0.114642,531250,168440,TQ312684,7/1/1990 12:00:00 AM,,42,109,41,"Thornton Heath",1.0,"Greater London","Croydon","Thames Water",""
CR7 7QY,Yes,51.400624,-0.112306,531410,168534,TQ314685,7/1/1990 12:00:00 AM,,42,72,23,"Thornton Heath",0.9,"Greater London","Croydon","Thames Water",""
CR7 7QZ,Yes,51.401311,-0.110265,531550,168614,TQ315686,7/1/1990 12:00:00 AM,,43,73,35,"Thornton Heath",0.7,"Greater London","Croydon","Thames Water",""
CR7 7RA,Yes,51.397052,-0.101067,532202,168157,TQ322681,7/1/1990 12:00:00 AM,,47,58,22,"Thornton Heath",0.2,"Greater London","Croydon","Thames Water",""
CR7 7RB,Yes,51.398747,-0.102995,532063,168342,TQ320683,7/1/1990 12:00:00 AM,,47,108,45,"Thornton Heath",0.2,"Greater London","Croydon","Thames Water",""
CR7 7RD,Yes,51.398573,-0.103336,532040,168322,TQ320683,7/1/1990 12:00:00 AM,,46,58,22,"Thornton Heath",0.2,"Greater London","Croydon","Thames Water",""
CR7 7RE,Yes,51.399942,-0.104573,531950,168472,TQ319684,7/1/1990 12:00:00 AM,,45,91,26,"Thornton Heath",0.3,"Greater London","Croydon","Thames Water",""
CR7 7RF,Yes,51.399666,-0.104729,531940,168441,TQ319684,7/1/1990 12:00:00 AM,,44,76,23,"Thornton Heath",0.3,"Greater London","Croydon","Thames Water",""
CR7 7RG,Yes,51.403615,-0.110932,531497,168869,TQ314688,7/1/1990 12:00:00 AM,,40,73,23,"Thornton Heath",0.9,"Greater London","Croydon","Thames Water",""
CR7 7RH,Yes,51.400697,-0.105114,531910,168555,TQ319685,7/1/1990 12:00:00 AM,,45,35,11,"Thornton Heath",0.4,"Greater London","Croydon","Thames Water",""
CR7 7RJ,Yes,51.403500,-0.110505,531527,168857,TQ315688,7/1/1990 12:00:00 AM,,41,56,19,"Thornton Heath",0.9,"Greater London","Croydon","Thames Water",""
CR7 7RL,Yes,51.399195,-0.102316,532109,168393,TQ321683,7/1/1990 12:00:00 AM,,47,98,46,"Thornton Heath",0.1,"Greater London","Croydon","Thames Water",""
CR7 7RN,Yes,51.400588,-0.103914,531994,168545,TQ319685,7/1/1990 12:00:00 AM,,46,123,48,"Thornton Heath",0.3,"Greater London","Croydon","Thames Water",""
CR7 7RP,Yes,51.401666,-0.105549,531877,168662,TQ318686,7/1/1990 12:00:00 AM,,47,106,43,"Thornton Heath",0.5,"Greater London","Croydon","Thames Water",""
CR7 7RQ,Yes,51.403212,-0.107702,531723,168830,TQ317688,7/1/1990 12:00:00 AM,,43,168,65,"Thornton Heath",0.7,"Greater London","Croydon","Thames Water",""
CR7 7RR,Yes,51.404602,-0.109698,531580,168981,TQ315689,7/1/1990 12:00:00 AM,,41,32,11,"Thornton Heath",0.9,"Greater London","Croydon","Thames Water",""
CR7 7RS,Yes,51.399030,-0.102667,532085,168374,TQ320683,7/1/1990 12:00:00 AM,,47,115,48,"Thornton Heath",0.2,"Greater London","Croydon","Thames Water",""
CR7 7RT,Yes,51.400276,-0.104097,531982,168510,TQ319685,7/1/1990 12:00:00 AM,,45,38,16,"Thornton Heath",0.3,"Greater London","Croydon","Thames Water",""
CR7 7RU,Yes,51.403030,-0.108123,531694,168809,TQ316688,7/1/1990 12:00:00 AM,,42,171,51,"Thornton Heath",0.7,"Greater London","Croydon","Thames Water",""
CR7 7RW,Yes,51.404448,-0.110164,531548,168963,TQ315689,7/1/1990 12:00:00 AM,,41,56,13,"Thornton Heath",0.9,"Greater London","Croydon","Thames Water",""
CR7 7RX,Yes,51.401483,-0.105904,531853,168641,TQ318686,7/1/1990 12:00:00 AM,,46,111,47,"Thornton Heath",0.5,"Greater London","Croydon","Thames Water",""
CR7 7RY,Yes,51.396410,-0.101367,532183,168085,TQ321680,7/1/1990 12:00:00 AM,,45,125,44,"Thornton Heath",0.2,"Greater London","Croydon","Thames Water",""
CR7 7RZ,Yes,51.396429,-0.100863,532218,168088,TQ322680,7/1/1990 12:00:00 AM,,46,81,29,"Thornton Heath",0.2,"Greater London","Croydon","Thames Water",""
CR7 7SA,Yes,51.395007,-0.112508,531412,167909,TQ314679,7/1/1990 12:00:00 AM,,45,75,28,"Thornton Heath",0.9,"Greater London","Croydon","Thames Water",""
CR7 7SB,Yes,51.394803,-0.112100,531441,167887,TQ314678,7/1/1990 12:00:00 AM,,46,118,37,"Thornton Heath",0.9,"Greater London","Croydon","Thames Water",""
CR7 7SE,No,51.375716,-0.091863,532904,165801,TQ329658,6/1/2001 12:00:00 AM,3/1/2006 12:00:00 AM,63,,,"East Croydon",0.0,"Greater London","Croydon","",""
CR7 7SL,No,51.375716,-0.091863,532904,165801,TQ329658,6/1/2001 12:00:00 AM,2/1/2006 12:00:00 AM,63,,,"East Croydon",0.0,"Greater London","Croydon","",""
CR7 7SQ,No,51.375716,-0.091863,532904,165801,TQ329658,12/1/2001 12:00:00 AM,4/1/2003 12:00:00 AM,63,,,"East Croydon",0.0,"Greater London","Croydon","",""
CR7 7TT,No,51.394929,-0.112684,531400,167900,TQ313679,12/1/1997 12:00:00 AM,10/1/2000 12:00:00 AM,45,,,"Thornton Heath",0.9,"Greater London","Croydon","",""
CR7 7UA,No,51.375716,-0.091863,532904,165801,TQ329658,6/1/2008 12:00:00 AM,1/1/2009 12:00:00 AM,63,,,"East Croydon",0.0,"Greater London","Croydon","",""
CR7 7UB,No,51.375716,-0.091863,532904,165801,TQ329658,4/1/2008 12:00:00 AM,5/1/2009 12:00:00 AM,63,,,"East Croydon",0.0,"Greater London","Croydon","",""
CR7 7UD,No,51.375716,-0.091863,532904,165801,TQ329658,3/1/2008 12:00:00 AM,4/1/2012 12:00:00 AM,63,,,"East Croydon",0.0,"Greater London","Croydon","",""
CR7 7UE,No,51.375716,-0.091863,532904,165801,TQ329658,2/1/2008 12:00:00 AM,1/1/2014 12:00:00 AM,63,,,"East Croydon",0.0,"Greater London","Croydon","",""
CR7 7UF,No,51.375716,-0.091863,532904,165801,TQ329658,2/1/2008 12:00:00 AM,2/1/2009 12:00:00 AM,63,,,"East Croydon",0.0,"Greater London","Croydon","",""
CR7 7UG,No,51.375716,-0.091863,532904,165801,TQ329658,9/1/2007 12:00:00 AM,2/1/2009 12:00:00 AM,63,,,"East Croydon",0.0,"Greater London","Croydon","",""
CR7 7UH,No,51.375716,-0.091863,532904,165801,TQ329658,7/1/2007 12:00:00 AM,6/1/2008 12:00:00 AM,63,,,"East Croydon",0.0,"Greater London","Croydon","",""
CR7 7UJ,No,51.375716,-0.091863,532904,165801,TQ329658,2/1/2007 12:00:00 AM,2/1/2009 12:00:00 AM,63,,,"East Croydon",0.0,"Greater London","Croydon","",""
CR7 7UL,No,51.375716,-0.091863,532904,165801,TQ329658,6/1/2001 12:00:00 AM,3/1/2004 12:00:00 AM,63,,,"East Croydon",0.0,"Greater London","Croydon","",""
CR7 7UN,No,51.375716,-0.091863,532904,165801,TQ329658,4/1/2009 12:00:00 AM,3/1/2010 12:00:00 AM,63,,,"East Croydon",0.0,"Greater London","Croydon","",""
CR7 7UP,No,51.375716,-0.091863,532904,165801,TQ329658,6/1/2007 12:00:00 AM,7/1/2007 12:00:00 AM,63,,,"East Croydon",0.0,"Greater London","Croydon","",""
CR7 7UQ,No,51.375716,-0.091863,532904,165801,TQ329658,1/1/2006 12:00:00 AM,2/1/2009 12:00:00 AM,63,,,"East Croydon",0.0,"Greater London","Croydon","",""
CR7 7UR,No,51.375716,-0.091863,532904,165801,TQ329658,12/1/2005 12:00:00 AM,1/1/2009 12:00:00 AM,63,,,"East Croydon",0.0,"Greater London","Croydon","",""
CR7 7US,No,51.375716,-0.091863,532904,165801,TQ329658,11/1/2011 12:00:00 AM,12/1/2013 12:00:00 AM,63,,,"East Croydon",0.0,"Greater London","Croydon","",""
CR7 7UT,No,51.375716,-0.091863,532904,165801,TQ329658,10/1/2005 12:00:00 AM,10/1/2006 12:00:00 AM,63,,,"East Croydon",0.0,"Greater London","Croydon","",""
CR7 7UU,No,51.375716,-0.091863,532904,165801,TQ329658,6/1/2006 12:00:00 AM,7/1/2006 12:00:00 AM,63,,,"East Croydon",0.0,"Greater London","Croydon","",""
CR7 7UW,No,51.375716,-0.091863,532904,165801,TQ329658,3/1/2005 12:00:00 AM,4/1/2006 12:00:00 AM,63,,,"East Croydon",0.0,"Greater London","Croydon","",""
CR7 7UX,No,51.375716,-0.091863,532904,165801,TQ329658,1/1/2005 12:00:00 AM,11/1/2005 12:00:00 AM,63,,,"East Croydon",0.0,"Greater London","Croydon","",""
CR7 7UY,No,51.375716,-0.091863,532904,165801,TQ329658,1/1/2005 12:00:00 AM,12/1/2013 12:00:00 AM,63,,,"East Croydon",0.0,"Greater London","Croydon","",""
CR7 7UZ,No,51.375716,-0.091863,532904,165801,TQ329658,4/1/2003 12:00:00 AM,5/1/2006 12:00:00 AM,63,,,"East Croydon",0.0,"Greater London","Croydon","",""
CR7 7WA,No,51.378068,-0.113291,531406,166024,TQ314660,4/1/2008 12:00:00 AM,12/1/2018 12:00:00 AM,43,,,"Waddon Marsh",0.3,"Greater London","Croydon","SES Water","Thames Water"
CR7 7WB,No,51.378068,-0.113291,531406,166024,TQ314660,12/1/2001 12:00:00 AM,12/1/2018 12:00:00 AM,43,,,"Waddon Marsh",0.3,"Greater London","Croydon","SES Water","Thames Water"
CR7 7WD,Yes,51.378068,-0.113291,531406,166024,TQ314660,12/1/2001 12:00:00 AM,,43,,,"Waddon Marsh",0.3,"Greater London","Croydon","SES Water","Thames Water"
CR7 7WE,No,51.375716,-0.091863,532904,165801,TQ329658,6/1/2002 12:00:00 AM,2/1/2009 12:00:00 AM,63,,,"East Croydon",0.0,"Greater London","Croydon","",""
CR7 7WF,No,51.375716,-0.091863,532904,165801,TQ329658,8/1/2006 12:00:00 AM,9/1/2008 12:00:00 AM,63,,,"East Croydon",0.0,"Greater London","Croydon","",""
CR7 7WG,No,51.375716,-0.091863,532904,165801,TQ329658,6/1/2002 12:00:00 AM,2/1/2011 12:00:00 AM,63,,,"East Croydon",0.0,"Greater London","Croydon","",""
CR7 7WJ,No,51.375716,-0.091863,532904,165801,TQ329658,7/1/2003 12:00:00 AM,1/1/2006 12:00:00 AM,63,,,"East Croydon",0.0,"Greater London","Croydon","",""
CR7 7WL,No,51.375716,-0.091863,532904,165801,TQ329658,4/1/2003 12:00:00 AM,1/1/2009 12:00:00 AM,63,,,"East Croydon",0.0,"Greater London","Croydon","",""
CR7 7WN,No,51.375716,-0.091863,532904,165801,TQ329658,12/1/1998 12:00:00 AM,2/1/2006 12:00:00 AM,63,,,"East Croydon",0.0,"Greater London","Croydon","",""
CR7 7WP,Yes,51.378068,-0.113291,531406,166024,TQ314660,4/1/2008 12:00:00 AM,,43,,,"Waddon Marsh",0.3,"Greater London","Croydon","SES Water","Thames Water"
