Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income,Sewage Company,Travel To Work Area,ITL level 2,ITL level 3,UPRNs,Distance to sea
SE21 7AA,Yes,51.434204,-0.085226,533196,172317,TQ331723,"Greater London","Southwark","Dulwich Wood",E09000028,E05011101,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Southwark, unparished area","",11,0,"Greater London","Southwark","Southwark 033B","Urban major conurbation",London,50,3,E01003946,,E02000839,"Sydenham Hill",E43000218,E00019876,E14000673,16984,1,1,2022-11-26,"Sydenham Hill",0.376898,SE,SE21,"Metropolitan Police","Thames Water",9C3XCWM7+MW,56500,"","London","Inner London - East","Lewisham and Southwark","10013530666,10013530667,10013530668,10093341147,200003434058",34.473
SE21 7AB,Yes,51.442419,-0.088235,532963,173225,TQ329732,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Southwark, unparished area","",14,4,"Greater London","Southwark","Southwark 031A","Urban major conurbation",London,38,3,E01004069,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020503,E14000673,25346,1,0,2022-11-26,"West Dulwich",0.237825,SE,SE21,"Metropolitan Police","Thames Water",9C3XCWR6+XP,76600,"","London","Inner London - East","Lewisham and Southwark","10000811225,10000811226,10000815071,10009796914,10015367140,10025188406,10025481833,10090287157,200003435258,200003435464,200003435465,200003435467,200003435468,200003435469,200003435470,200003435477,200003435482,200003474214,200003474540,200003474832,200003493542,200003493543,200003498453",34.6285
SE21 7AD,Yes,51.445632,-0.086749,533057,173585,TQ330735,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Southwark, unparished area","",10,4,"Greater London","Southwark","Southwark 031A","Urban major conurbation",London,33,3,E01004069,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020499,E14000673,25346,1,0,2022-11-26,"West Dulwich",0.59074,SE,SE21,"Metropolitan Police","Thames Water",9C3XCWW7+78,76600,"","London","Inner London - East","Lewisham and Southwark","10009790997,10009795711,10025188468,200003434914,200003435179,200003435265,200003435462,200003435472,200003435474,200003435484,200003435485,200003493541,200003493544,200003498455",34.5117
SE21 7AE,Yes,51.446549,-0.086192,533093,173688,TQ330736,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Southwark, unparished area","",,,"Greater London","Southwark","Southwark 031A","Urban major conurbation",London,34,3,E01004069,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020499,E14000673,25346,1,1,2022-11-26,"West Dulwich",0.699074,SE,SE21,"Metropolitan Police","Thames Water",9C3XCWW7+JG,76600,"","London","Inner London - East","Lewisham and Southwark","200003434059",34.4698
SE21 7AF,Yes,51.448007,-0.088477,532930,173846,TQ329738,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Southwark, unparished area","",50,17,"Greater London","Southwark","Southwark 031A","Urban major conurbation",London,30,2,E01004069,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020499,E14000673,25346,1,0,2022-11-26,"North Dulwich",0.720503,SE,SE21,"Metropolitan Police","Thames Water",9C3XCWX6+6J,76600,"","London","Inner London - East","Lewisham and Southwark","10009789471,10009789767,10025482523,10094744340,200003434063,200003434064,200003434065,200003434066,200003434067,200003434068,200003434069,200003434070,200003434071,200003434072,200003434073,200003434074,200003434075,200003434076,200003434077,200003434078,200003434079,200003435471",34.6234
SE21 7AG,Yes,51.448352,-0.088146,532952,173885,TQ329738,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Southwark, unparished area","",67,21,"Greater London","Southwark","Southwark 031A","Urban major conurbation",London,30,2,E01004069,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020498,E14000673,25346,1,0,2022-11-26,"North Dulwich",0.68131,SE,SE21,"Metropolitan Police","Thames Water",9C3XCWX6+8P,76600,"","London","Inner London - East","Lewisham and Southwark","10015273418,200003434080,200003434081,200003434082,200003434083,200003434084,200003434085,200003434086,200003434087,200003434088,200003434089,200003434090,200003434091,200003434092,200003434093,200003434094,200003434095,200003434096,200003434097,200003434098,200003434099,200003434100",34.5995
SE21 7AH,No,51.449351,-0.085974,533100,174000,TQ331739,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1980-01-01,1995-12-01,"Southwark, unparished area","",,,"Greater London","Southwark","Southwark 031E","Urban major conurbation",London,30,2,E01004075,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020530,E14000673,26265,8,1,2022-11-26,"North Dulwich",0.585808,SE,SE21,"Metropolitan Police","",9C3XCWX7+PJ,76600,"","London","Inner London - East","Lewisham and Southwark","",34.4465
SE21 7AJ,Yes,51.449487,-0.085494,533133,174016,TQ331740,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Southwark, unparished area","",37,12,"Greater London","Southwark","Southwark 031E","Urban major conurbation",London,31,2,E01004075,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020530,E14000673,26265,1,0,2022-11-26,"North Dulwich",0.579848,SE,SE21,"Metropolitan Police","Thames Water",9C3XCWX7+QR,76600,"","London","Inner London - East","Lewisham and Southwark","10000810787,10009789367,10009790593,10009803417,10090283105,10094087608,10094746087,200003435180,200003435181,200003435182,200003435183,200003435184,200003435185,200003435186,200003435187,200003435188,200003435274,200003435437,200003435446,200003435449,200003435452,200003435461",34.4129
SE21 7AL,Yes,51.451626,-0.087088,533016,174251,TQ330742,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Southwark, unparished area","",51,18,"Greater London","Southwark","Southwark 031A","Urban major conurbation",London,29,2,E01004069,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020498,E14000673,25346,1,0,2022-11-26,"North Dulwich",0.322493,SE,SE21,"Metropolitan Police","Thames Water",9C3XFW27+M5,76600,"","London","Inner London - East","Lewisham and Southwark","10000810786,10013532015,10026077377,10090283520,10090285081,10093340127,10093340182,200003435189,200003435190,200003435191,200003435192,200003435193,200003435194,200003435195,200003435196,200003435197,200003435198,200003435199,200003435200,200003435201,200003435202,200003435203,200003435204,200003435205,200003435206,200003435207,200003435244,200003435456",34.519
SE21 7AN,Yes,51.452368,-0.089547,532843,174329,TQ328743,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Southwark, unparished area","",36,12,"Greater London","Southwark","Southwark 031C","Urban major conurbation",London,29,2,E01004073,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020520,E14000673,26350,1,0,2022-11-26,"North Dulwich",0.260533,SE,SE21,"Metropolitan Police","Thames Water",9C3XFW26+W5,76600,"","London","Inner London - East","Lewisham and Southwark","10009790245,200003434101,200003434102,200003434103,200003434104,200003434105,200003434106,200003434107,200003434108,200003434109,200003434110,200003434111,200003434112,200003434113",34.6881
SE21 7AP,Yes,51.453175,-0.091053,532736,174416,TQ327744,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Southwark, unparished area","",5,3,"Greater London","Southwark","Southwark 031C","Urban major conurbation",London,28,2,E01004073,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020520,E14000673,26350,1,0,2022-11-26,"North Dulwich",0.261123,SE,SE21,"Metropolitan Police","Thames Water",9C3XFW35+7H,76600,"","London","Inner London - East","Lewisham and Southwark","200003434114,200003434115,200003435495",34.7914
SE21 7AQ,Yes,51.448469,-0.085896,533108,173902,TQ331739,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Southwark, unparished area","",35,11,"Greater London","Southwark","Southwark 031A","Urban major conurbation",London,32,2,E01004069,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020499,E14000673,25346,1,0,2022-11-26,"North Dulwich",0.682651,SE,SE21,"Metropolitan Police","Thames Water",9C3XCWX7+9J,76600,"","London","Inner London - East","Lewisham and Southwark","10025481860,10094087586,200003434053,200003435208,200003435209,200003435210,200003435211,200003435212,200003435213,200003435214,200003435215,200003435216,200003435217,200003435218,200003435275,200003435276,200003435438,200003435481,200003435487,200003481565",34.4434
SE21 7AR,Yes,51.453177,-0.089499,532844,174419,TQ328744,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Southwark, unparished area","",37,18,"Greater London","Southwark","Southwark 031B","Urban major conurbation",London,30,2,E01004070,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020516,E14000673,20902,1,0,2022-11-26,"North Dulwich",0.181637,SE,SE21,"Metropolitan Police","Thames Water",9C3XFW36+76,76600,"","London","Inner London - East","Lewisham and Southwark","200003434915,200003434916,200003434917,200003434918,200003434919,200003434920,200003434921,200003434922,200003434923,200003434924,200003434925,200003434926,200003434927,200003434928,200003434929,200003434930,200003434931,200003434932",34.6838
SE21 7AS,Yes,51.446585,-0.085644,533131,173693,TQ331736,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Southwark, unparished area","",12,12,"Greater London","Southwark","Southwark 031A","Urban major conurbation",London,35,3,E01004069,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020499,E14000673,25346,1,0,2022-11-26,"West Dulwich",0.720229,SE,SE21,"Metropolitan Police","Thames Water",9C3XCWW7+JP,76600,"","London","Inner London - East","Lewisham and Southwark","10093340157,200003434933,200003434934,200003434935,200003434936,200003434937,200003434938,200003434939,200003434940,200003434941,200003434942,200003434943,200003434944,200003434945,200003434946,200003434947,200003434948,200003497850,200003498454",34.4318
SE21 7AT,No,51.446655,-0.086087,533100,173700,TQ330736,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1990-07-01,1991-12-01,"Southwark, unparished area","",,,"Greater London","Southwark","Southwark 031A","Urban major conurbation",London,34,3,E01004069,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020499,E14000673,25346,8,1,2022-11-26,"West Dulwich",0.712858,SE,SE21,"Metropolitan Police","",9C3XCWW7+MH,76600,"","London","Inner London - East","Lewisham and Southwark","",34.4622
SE21 7AW,Yes,51.452792,-0.091832,532683,174372,TQ326743,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Southwark, unparished area","",23,5,"Greater London","Southwark","Southwark 031C","Urban major conurbation",London,28,2,E01004073,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020520,E14000673,26350,1,0,2022-11-26,"North Dulwich",0.329666,SE,SE21,"Metropolitan Police","Thames Water",9C3XFW35+47,76600,"","London","Inner London - East","Lewisham and Southwark","10009790625,10091666930,200003434116,200003434117,200003434118,200003434119,200003435458,200003496697",34.8458
SE21 7AX,No,51.446655,-0.086087,533100,173700,TQ330736,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1993-08-01,1994-12-01,"Southwark, unparished area","",,,"Greater London","Southwark","Southwark 031A","Urban major conurbation",London,34,3,E01004069,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020499,E14000673,25346,8,1,2022-11-26,"West Dulwich",0.712858,SE,SE21,"Metropolitan Police","",9C3XCWW7+MH,76600,"","London","Inner London - East","Lewisham and Southwark","",34.4622
SE21 7AZ,No,51.446655,-0.086087,533100,173700,TQ330736,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1990-02-01,1990-12-01,"Southwark, unparished area","",,,"Greater London","Southwark","Southwark 031A","Urban major conurbation",London,34,3,E01004069,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020499,E14000673,25346,8,1,2022-11-26,"West Dulwich",0.712858,SE,SE21,"Metropolitan Police","",9C3XCWW7+MH,76600,"","London","Inner London - East","Lewisham and Southwark","",34.4622
SE21 7BA,Yes,51.443137,-0.084265,533237,173312,TQ332733,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Southwark, unparished area","",23,6,"Greater London","Southwark","Southwark 031A","Urban major conurbation",London,40,3,E01004069,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020503,E14000673,25346,1,0,2022-11-26,"West Dulwich",0.508046,SE,SE21,"Metropolitan Police","Thames Water",9C3XCWV8+77,76600,"","London","Inner London - East","Lewisham and Southwark","10009789747,10013528684,10025181095,10025181096,10025481687,10093340132,10094743704,10094743705,200003434121,200003434122,200003434123,200003434124,200003434949",34.3504
SE21 7BB,Yes,51.443678,-0.082729,533342,173375,TQ333733,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Southwark, unparished area","",20,8,"Greater London","Southwark","Southwark 031A","Urban major conurbation",London,40,3,E01004069,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020503,E14000673,25346,1,0,2022-11-26,"West Dulwich",0.630238,SE,SE21,"Metropolitan Police","Thames Water",9C3XCWV8+FW,76600,"","London","Inner London - East","Lewisham and Southwark","200003434950,200003434951,200003434952,200003434953,200003434954,200003434955,200003434956,200003434957",34.2416
SE21 7BD,Yes,51.444841,-0.082954,533323,173504,TQ333735,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Southwark, unparished area","",28,9,"Greater London","Southwark","Southwark 031A","Urban major conurbation",London,38,3,E01004069,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020503,E14000673,25346,1,0,2022-11-26,"West Dulwich",0.690246,SE,SE21,"Metropolitan Police","Thames Water",9C3XCWV8+WR,76600,"","London","Inner London - East","Lewisham and Southwark","10009789746,10025188503,200003434958,200003434959,200003434960,200003434961,200003434962,200003434963,200003434964,200003434965,200003434966,200003434967",34.2522
SE21 7BE,Yes,51.444535,-0.086204,533098,173464,TQ330734,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Southwark, unparished area","",63,22,"Greater London","Southwark","Southwark 031A","Urban major conurbation",London,35,3,E01004069,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020503,E14000673,25346,1,0,2022-11-26,"West Dulwich",0.507837,SE,SE21,"Metropolitan Police","Thames Water",9C3XCWV7+RG,76600,"","London","Inner London - East","Lewisham and Southwark","10009789470,200003434125,200003435286,200003435287,200003435288,200003435289,200003435290,200003435291,200003435292,200003435293,200003435294,200003435295,200003435296,200003435297,200003435298,200003435299,200003435300,200003435301,200003435302,200003435303,200003435304,200003435305,200003435479",34.4784
SE21 7BF,No,51.443936,-0.084762,533200,173400,TQ331734,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1993-08-01,1996-06-01,"Southwark, unparished area","",,,"Greater London","Southwark","Southwark 031A","Urban major conurbation",London,40,3,E01004069,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020503,E14000673,25346,8,1,2022-11-26,"West Dulwich",0.529651,SE,SE21,"Metropolitan Police","",9C3XCWV8+H3,76600,"","London","Inner London - East","Lewisham and Southwark","",34.3811
SE21 7BG,Yes,51.445115,-0.084842,533191,173531,TQ331735,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Southwark, unparished area","",37,11,"Greater London","Southwark","Southwark 031A","Urban major conurbation",London,36,3,E01004069,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020503,E14000673,25346,1,0,2022-11-26,"West Dulwich",0.617446,SE,SE21,"Metropolitan Police","Thames Water",9C3XCWW8+23,76600,"","London","Inner London - East","Lewisham and Southwark","200003434126,200003434127,200003434969,200003435306,200003435307,200003435308,200003435309,200003435310,200003435311,200003435312,200003468937",34.3817
SE21 7BH,Yes,51.447314,-0.084016,533242,173777,TQ332737,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Southwark, unparished area","",30,9,"Greater London","Southwark","Southwark 031E","Urban major conurbation",London,36,2,E01004075,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020530,E14000673,26265,1,0,2022-11-26,"North Dulwich",0.841073,SE,SE21,"Metropolitan Police","Thames Water",9C3XCWW8+W9,76600,"","London","Inner London - East","Lewisham and Southwark","10000818038,10000818039,10000818040,10000818041,10000818042,10009797122,10009797223,200003434128,200003434129,200003434130",34.3167
SE21 7BJ,Yes,51.448775,-0.084847,533180,173938,TQ331739,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Southwark, unparished area","",60,22,"Greater London","Southwark","Southwark 031E","Urban major conurbation",London,33,2,E01004075,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020530,E14000673,26265,1,0,2022-11-26,"North Dulwich",0.668848,SE,SE21,"Metropolitan Police","Thames Water",9C3XCWX8+G3,76600,"","London","Inner London - East","Lewisham and Southwark","10000810788,10000816484,10009789516,10009789643,10009796057,10025193740,10025573654,10090283073,10093340128,200003435219,200003435220,200003435221,200003435222,200003435223,200003435224,200003435225,200003435226,200003435227,200003435228,200003435229,200003435230,200003435231,200003435232,200003435233,200003435234,200003435261,200003435262,200003435263,200003435264,200003435277,200003435441,200003435442,200003435478,200003435486,200003435488,200003435493,200003474161,200003481053",34.3699
SE21 7BL,Yes,51.447376,-0.085049,533170,173782,TQ331737,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Southwark, unparished area","",2,1,"Greater London","Southwark","Southwark 031E","Urban major conurbation",London,35,2,E01004075,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020530,E14000673,26265,1,1,2022-11-26,"North Dulwich",0.814205,SE,SE21,"Metropolitan Police","Thames Water",9C3XCWW7+XX,76600,"","London","Inner London - East","Lewisham and Southwark","200003434056,200003434060",34.388
SE21 7BN,Yes,51.451207,-0.085583,533122,174207,TQ331742,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Southwark, unparished area","",34,12,"Greater London","Southwark","Southwark 031E","Urban major conurbation",London,30,2,E01004075,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020500,E14000673,26265,1,0,2022-11-26,"North Dulwich",0.398206,SE,SE21,"Metropolitan Police","Thames Water",9C3XFW27+FQ,76600,"","London","Inner London - East","Lewisham and Southwark","10090285961,10094744324,10094746734,10094746735,10094746736,10094746737,10094746738,10094746739,10094746740,10094746741,200003434054,200003434055,200003434061,200003435235,200003435236,200003435237,200003435238,200003435239,200003435278,200003435279,200003435412,200003435413,200003435414,200003435416,200003435448,200003435450,200003435453,200003435455,200003435466,200003435475,200003435476,200003435483,200003435491,200003435492,200003435496,200003480895,200003480898",34.4155
SE21 7BP,Yes,51.452634,-0.084930,533163,174367,TQ331743,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Southwark, unparished area","",99,28,"Greater London","Southwark","Southwark 031B","Urban major conurbation",London,34,2,E01004070,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020519,E14000673,20902,1,0,2022-11-26,"North Dulwich",0.291515,SE,SE21,"Metropolitan Police","Thames Water",9C3XFW38+32,76600,"","London","Inner London - East","Lewisham and Southwark","10025189621,10094747052,10094747053,10094747054,10094747055,10094747056,10094747057,10094747058,10094747059,10094747060,200003434131,200003434132,200003434133,200003434134,200003434135,200003434136,200003434137,200003434138,200003434139,200003434140,200003434141,200003434142,200003434143,200003434144,200003434145,200003434146,200003434147,200003434148,200003434149,200003434150,200003434151,200003434152,200003434153,200003434154,200003434155,200003434156,200003434157,200003434158",34.3681
SE21 7BQ,Yes,51.446701,-0.085009,533175,173707,TQ331737,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Southwark, unparished area","",19,5,"Greater London","Southwark","Southwark 031A","Urban major conurbation",London,36,3,E01004069,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020503,E14000673,25346,1,0,2022-11-26,"West Dulwich",0.753469,SE,SE21,"Metropolitan Police","Thames Water",9C3XCWW7+MX,76600,"","London","Inner London - East","Lewisham and Southwark","10009790922,10013527266,10013527267,10025180069,10025180070,10025193739,10025193742,10025327697,10025574660,10090284688,10090284697,10090287587,10090287588,10090746654,200003435313,200003435314,200003435315,200003435427,200003435498,200003435499,200003497853",34.3874
SE21 7BS,Yes,51.452857,-0.085367,533132,174391,TQ331743,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Southwark, unparished area","",47,17,"Greater London","Southwark","Southwark 031B","Urban major conurbation",London,34,2,E01004070,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020519,E14000673,20902,1,0,2022-11-26,"North Dulwich",0.252609,SE,SE21,"Metropolitan Police","Thames Water",9C3XFW37+4V,76600,"","London","Inner London - East","Lewisham and Southwark","200003434159,200003434160,200003434161,200003434162,200003434163,200003434164,200003434165,200003434166,200003434167,200003434168,200003434169,200003434170,200003434171,200003434172,200003434173,200003434174,200003434175",34.3981
SE21 7BT,Yes,51.451784,-0.086290,533071,174270,TQ330742,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Southwark, unparished area","",8,3,"Greater London","Southwark","Southwark 031B","Urban major conurbation",London,30,2,E01004070,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020519,E14000673,20902,1,0,2022-11-26,"North Dulwich",0.320278,SE,SE21,"Metropolitan Police","Thames Water",9C3XFW27+PF,76600,"","London","Inner London - East","Lewisham and Southwark","10009789798,10094747061,10094747062,200003435240,200003435241,200003435242,200003477102,200003493344",34.4635
SE21 7BU,Yes,51.452764,-0.086810,533032,174378,TQ330743,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Southwark, unparished area","",23,5,"Greater London","Southwark","Southwark 031B","Urban major conurbation",London,32,2,E01004070,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020519,E14000673,20902,1,0,2022-11-26,"North Dulwich",0.205728,SE,SE21,"Metropolitan Police","Thames Water",9C3XFW37+47,76600,"","London","Inner London - East","Lewisham and Southwark","10025481872,200003434057,200003435243,200003435245,200003435246,200003435247,200003435248",34.4981
SE21 7BW,No,51.451463,-0.085900,533099,174235,TQ330742,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",2001-06-01,2018-03-01,"Southwark, unparished area","",,,"Greater London","Southwark","Southwark 031E","Urban major conurbation",London,30,2,E01004075,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020500,E14000673,26265,1,1,2022-11-26,"North Dulwich",0.363395,SE,SE21,"Metropolitan Police","Thames Water",9C3XFW27+HJ,76600,"","London","Inner London - East","Lewisham and Southwark","",34.437
SE21 7BX,Yes,51.453753,-0.088438,532916,174485,TQ329744,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Southwark, unparished area","",34,11,"Greater London","Southwark","Southwark 031B","Urban major conurbation",London,32,2,E01004070,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020516,E14000673,20902,1,0,2022-11-26,"North Dulwich",0.0885954,SE,SE21,"Metropolitan Police","Thames Water",9C3XFW36+GJ,76600,"","London","Inner London - East","Lewisham and Southwark","10009795320,10015383679,10093342975,200003434971,200003434972,200003434973,200003434974,200003434975,200003434976,200003434977,200003434978,200003434979,200003434980,200003434981,200003435405,200003435439,200003435445",34.6098
SE21 7BY,No,51.436412,-0.087163,533055,172559,TQ330725,"Greater London","Southwark","Dulwich Wood",E09000028,E05011101,England,E11000009,"Dulwich and West Norwood",1986-07-01,2008-06-01,"Southwark, unparished area","",,,"Greater London","Southwark","Southwark 033E","Urban major conurbation",London,44,3,E01003951,,E02000839,"Sydenham Hill",E43000218,E00019877,E14000673,17898,1,1,2022-11-26,"West Dulwich",0.555971,SE,SE21,"Metropolitan Police","",9C3XCWP7+H4,56500,"","London","Inner London - East","Lewisham and Southwark","",34.5904
SE21 7BZ,No,51.452993,-0.088701,532900,174400,TQ328744,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1986-07-01,1986-12-01,"Southwark, unparished area","",,,"Greater London","Southwark","Southwark 031B","Urban major conurbation",London,31,2,E01004070,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020516,E14000673,20902,8,1,2022-11-26,"North Dulwich",0.174065,SE,SE21,"Metropolitan Police","",9C3XFW36+5G,76600,"","London","Inner London - East","Lewisham and Southwark","",34.6287
SE21 7DA,No,51.451148,-0.085899,533100,174200,TQ330741,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1992-08-01,1995-07-01,"Southwark, unparished area","",,,"Greater London","Southwark","Southwark 031E","Urban major conurbation",London,30,2,E01004075,,E02000837,"Herne Hill & Dulwich Park",E43000218,E00020500,E14000673,26265,8,1,2022-11-26,"North Dulwich",0.395958,SE,SE21,"Metropolitan Police","",9C3XFW27+FJ,76600,"","London","Inner London - East","Lewisham and Southwark","",34.4375
SE21 7DE,Yes,51.451558,-0.084529,533194,174248,TQ331742,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Southwark, unparished area","",45,15,"Greater London","Southwark","Southwark 030E","Urban major conurbation",London,31,2,E01004072,,E02000836,"East Dulwich",E43000218,E00020522,E14000673,25533,1,0,2022-11-26,"North Dulwich",0.400797,SE,SE21,"Metropolitan Police","Thames Water",9C3XFW28+J5,67000,"","London","Inner London - East","Lewisham and Southwark","10009789029,10090283488,10094747063,200003434176,200003434177,200003434178,200003434179,200003434180,200003434181,200003434182,200003434183,200003434184,200003434185,200003434186,200003434187,200003434188,200003434982,200003434983,200003434984,200003434985,200003434986,200003435444,200003492647,200003497587",34.3419
SE21 7DF,Yes,51.453252,-0.083666,533249,174438,TQ332744,"Greater London","Southwark","Dulwich Village",E09000028,E05011100,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Southwark, unparished area","",94,31,"Greater London","Southwark","Southwark 030E","Urban major conurbation",London,36,2,E01004072,,E02000836,"East Dulwich",E43000218,E00020522,E14000673,25533,1,0,2022-11-26,"North Dulwich",0.32463,SE,SE21,"Metropolitan Police","Thames Water",9C3XFW38+8G,67000,"","London","Inner London - East","Lewisham and Southwark","200003434189,200003434190,200003434191,200003434192,200003434193,200003434194,200003434195,200003434196,200003434197,200003434198,200003434199,200003434200,200003434201,200003434202,200003434203,200003434204,200003434205,200003434206,200003434207,200003434208,200003434209,200003434210,200003434211,200003434212,200003434213,200003434987,200003434990,200003434991,200003435457,200003435459,200003435506,200003469081",34.2798
