Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Constituency,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Built up sub-division,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Constituency Code,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income,Sewage Company,Travel To Work Area,ITL level 2,ITL level 3,UPRNs,Distance to sea
SE21 8JZ,Yes,51.443662,-0.103336,531910,173336,TQ319733,"Greater London","Lambeth","West Dulwich",E09000022,E05014119,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Lambeth, unparished area","",164,49,"Greater London","Lambeth","Lambeth 025C","Urban major conurbation",London,49,3,E01003168,,E02000642,"West Dulwich",E43000212,E00016004,E14000673,4141,1,0,2022-11-26,"Tulse Hill",0.439385,SE,SE21,"Metropolitan Police","Thames Water",9C3XCVVW+FM,55900,"","London","Inner London - East","Lambeth","10001110685,10001110687,10001110688,10001114175,100021879873,100021879875,100021879877,100021879879,100021879881,100021879883,100021879885,100021879887,100021879889,100021879891,100021879893,100021879895,100021879897,100021879899,100021879901,100021879903,100021879905,100021879907,100021879909,100021879911,100021879913,100021879915,100021879917,100021879919,100021879921,100021879923,100021879925,100021879927,100021879929,100021879931,100021879933,100021879935,100021879937,100021879939,100021879941,100021879943,100021879945,100021879947,100021879949,100021879951,100021879953,100021879955,100021879957,100021879959,100021879961,100021879963,100021879965,100021879967,100021879969",35.6677
SE21 8LA,Yes,51.443319,-0.101566,532034,173301,TQ320733,"Greater London","Lambeth","West Dulwich",E09000022,E05014119,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Lambeth, unparished area","",135,66,"Greater London","Lambeth","Lambeth 025C","Urban major conurbation",London,60,3,E01003168,,E02000642,"West Dulwich",E43000212,E00016009,E14000673,4141,1,0,2022-11-26,"Tulse Hill",0.454858,SE,SE21,"Metropolitan Police","Thames Water",9C3XCVVX+89,55900,"","London","Inner London - East","Lambeth","10001110692,10001110693,10001110695,10001110696,10001110697,100021879971,100021879973,100021879975,100021879977,100021879979,100021879981,100021879983,100021879985,100021879987,100021879989,100021879991,100021879993,100021879995,100021879997,100021879999,100021880001,100021880003,100021880005,100021880007,100021880009,100021880011,100021880013,100021880015,100021880017,100021880019,100021880021,100021880023,100021880025,100021880027,100021880029,100021880031,100021880033,100021880035,100021880037,100021880039,100021880041,100021880043,100021880045,100021880047,100021880049,100021880050,100021880051,100021880052,100021880053,100021880054,100021880055,100021880056,100021880057,100021880058,100021880059,100021880060,100021880061,100021880062,100021880063,100021880064,100021880065,100021880066,100021880067,100021880068,100021880069,100021880070,100021880071,100021880072,100021880073,100021880074,100021880075,100021880076,200000463114,200000488013,200000523374",35.5468
SE21 8LB,Yes,51.443551,-0.103715,531884,173323,TQ318733,"Greater London","Lambeth","West Dulwich",E09000022,E05014119,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Lambeth, unparished area","",160,49,"Greater London","Lambeth","Lambeth 025C","Urban major conurbation",London,47,3,E01003168,,E02000642,"West Dulwich",E43000212,E00016004,E14000673,4141,1,0,2022-11-26,"Tulse Hill",0.420889,SE,SE21,"Metropolitan Police","Thames Water",9C3XCVVW+CG,55900,"","London","Inner London - East","Lambeth","10001114733,200000484735,200000484736,200000484737,200000484738,200000484739,200000484740,200000484741,200000484742,200000484743,200000484744,200000484745,200000484746,200000484747,200000484748,200000484749,200000484750,200000484751,200000484752,200000484753,200000484754,200000484755,200000484756,200000484757,200000484758,200000484759,200000484760,200000484761,200000484762,200000484763,200000484764,200000484765,200000484766,200000484767,200000484768,200000484769,200000484770,200000484771,200000484772,200000484773,200000484774,200000484775,200000484776,200000484777,200000484778,200000484779,200000484780,200000484781,200000484782,200000484783",35.6945
SE21 8LD,Yes,51.443998,-0.102963,531935,173374,TQ319733,"Greater London","Lambeth","West Dulwich",E09000022,E05014119,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Lambeth, unparished area","",82,32,"Greater London","Lambeth","Lambeth 025C","Urban major conurbation",London,51,3,E01003168,,E02000642,"West Dulwich",E43000212,E00016004,E14000673,4141,1,0,2022-11-26,"Tulse Hill",0.482598,SE,SE21,"Metropolitan Police","Thames Water",9C3XCVVW+HR,55900,"","London","Inner London - East","Lambeth","10001110686,10015323663,100021879874,100021879876,100021879878,100021879880,100021879882,100021879884,100021879886,100021879888,100021879890,100021879892,100021879894,100021879896,100021879898,100021879900,100021879902,100021879904,100021879906,100021879908,100021879910,100021879912,100021879914,100021879916,100021879918,100021879920,100021879922,100021879924,100021879926,100021879928,100021879930,100021879932,100021879934,100021879936,100021879938",35.6405
SE21 8LE,Yes,51.443917,-0.102390,531975,173366,TQ319733,"Greater London","Lambeth","West Dulwich",E09000022,E05014119,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Lambeth, unparished area","",145,55,"Greater London","Lambeth","Lambeth 025C","Urban major conurbation",London,55,3,E01003168,,E02000642,"West Dulwich",E43000212,E00016009,E14000673,4141,1,0,2022-11-26,"Tulse Hill",0.487749,SE,SE21,"Metropolitan Police","Thames Water",9C3XCVVX+H2,55900,"","London","Inner London - East","Lambeth","10001110684,10001110689,10001110690,10001110694,10001110699,100021879940,100021879942,100021879944,100021879946,100021879948,100021879950,100021879952,100021879954,100021879956,100021879958,100021879960,100021879962,100021879964,100021879966,100021879968,100021879970,100021879972,100021879974,100021879976,100021879978,100021879980,100021879982,100021879984,100021879986,100021879988,100021879990,100021879992,100021879994,100021879996,100021879998,100021880000,100021880002,100021880004,100021880006,100021880008,100021880010,100021880012,100021880014,100021880016,100021880018,100021880020,100021880022,100021880024,100021880026,100021880028,100021880030,100021880032,100021880034,100021880036,100021880038,100021880040,100021880042,100021880044,100021880046,100021880048,200000487884",35.6012
SE21 8LF,Yes,51.437409,-0.094272,532558,172657,TQ325726,"Greater London","Lambeth","West Dulwich",E09000022,E05014119,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Lambeth, unparished area","",27,11,"Greater London","Lambeth","Lambeth 025B","Urban major conurbation",London,41,3,E01003165,,E02000642,"West Dulwich",E43000212,E00015991,E14000673,12526,1,0,2022-11-26,"West Dulwich",0.418844,SE,SE21,"Metropolitan Police","Thames Water",9C3XCWP4+X7,55900,"","London","Inner London - East","Lambeth","10008789574,10025188461,10091117091,10093377280,100021885703,100021885705,100021885708,100021885711,100021885718,100021885719,100021885721,100021885724,100021885726,100021885728,100021885730,100023252645",35.075
SE21 8LG,Yes,51.439058,-0.094995,532503,172839,TQ325728,"Greater London","Lambeth","West Dulwich",E09000022,E05014119,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Lambeth, unparished area","",113,49,"Greater London","Lambeth","Lambeth 025B","Urban major conurbation",London,37,3,E01003165,,E02000642,"West Dulwich",E43000212,E00016019,E14000673,12526,1,0,2022-11-26,"West Dulwich",0.311368,SE,SE21,"Metropolitan Police","Thames Water",9C3XCWQ4+J2,55900,"","London","Inner London - East","Lambeth","100021885732,100021885734,100021885736,100021885740,100021885742,100021885743,100021885745,100021885746,100021885749,100021885750,100021885753,100021885755,100021885757,100021885759,100021885761,100021885762,100021885763,100021885765,100021885767,100021885770,100021885772,100021885773,100021885774,100021885775,100021885777,100021885778,100021885779,100021885781,100021885782,100021885783,100021885784,100021885788,100021885790,100021885795,100021885808,100021885811,100021885812,100021885814,100021885908,100023252646,100023252647,100023252648,100023252649,100023252651,100023252652,100023252653,100023252654,100023252655,100023252811,100023252812,100023252813,100023252814,100023252816,100023676251,100023676252,200000478590,200000478598,200000478603,200000478604,200000478605,200000478606,200000487881,200000488339,200000501691,200000501692,200000517855,200000517858,200000517869",35.1146
SE21 8LH,Yes,51.440737,-0.096536,532391,173023,TQ323730,"Greater London","Lambeth","West Dulwich",E09000022,E05014119,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Lambeth, unparished area","",40,13,"Greater London","Lambeth","Lambeth 025E","Urban major conurbation",London,41,3,E01003170,,E02000642,"West Dulwich",E43000212,E00016010,E14000673,21658,1,0,2022-11-26,"West Dulwich",0.357719,SE,SE21,"Metropolitan Police","Thames Water",9C3XCWR3+79,55900,"","London","Inner London - East","Lambeth","100021886290,100021886291,100021886292,100021886293,100021886294,100021886295,100021886296,100021886297,100021886298,100021886299,100021886300,100021886301,100021886302,100023676232",35.2116
SE21 8LJ,Yes,51.441309,-0.095203,532482,173089,TQ324730,"Greater London","Lambeth","West Dulwich",E09000022,E05014119,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Lambeth, unparished area","",92,42,"Greater London","Lambeth","Lambeth 025E","Urban major conurbation",London,36,3,E01003170,,E02000642,"West Dulwich",E43000212,E00016014,E14000673,21658,1,0,2022-11-26,"West Dulwich",0.27343,SE,SE21,"Metropolitan Police","Thames Water",9C3XCWR3+GW,55900,"","London","Inner London - East","Lambeth","10001114219,10008785474,10094958937,100021909337,100021909338,100021909339,100021909340,100021909341,100021909342,100021909343,100021909344,100021909345,100021909346,100021909347,100021909348,100021909349,100021909350,100021909351,100021909352,100021909353,100021909354,100021909355,100021909356,100021909357,100021909358,100021909359,100021909360,100021909361,100021909362,100021909363,100021909364,100021909365,100021909366,100021909367,100021909368,100021909369,100021909370,100021909371,100021909372,100021909373,100021909374,100021909375,100021909376,100021909377,100021909378",35.1163
SE21 8LL,Yes,51.441868,-0.095842,532436,173150,TQ324731,"Greater London","Lambeth","West Dulwich",E09000022,E05014119,England,E11000009,"Dulwich and West Norwood",1980-01-01,,"Lambeth, unparished area","",39,19,"Greater London","Lambeth","Lambeth 025E","Urban major conurbation",London,38,3,E01003170,,E02000642,"West Dulwich",E43000212,E00016014,E14000673,21658,1,0,2022-11-26,"West Dulwich",0.335041,SE,SE21,"Metropolitan Police","Thames Water",9C3XCWR3+PM,55900,"","London","Inner London - East","Lambeth","10001113569,100021827613,100021827614,100021827615,100021827616,100021827617,100021827618,100021827619,100021827620,100021827621,100021827622,100021827623,100021827624,100021827625,100021827626,100021827627,100021827628,100021827629,100021827630,100021827631",35.1576
